I am 18+ and consent to take part. I understand anomymised data will be published openly,Which of the following best describes your current work status? ,Do you use any AI-powered tools or features in your work or daily life?,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, search assistants, or productivity apps) in your daily life? ",I often feel mentally taxed when trying to guide or re-phrase prompts for digital or AI tools to get the result I want.  ,Figuring out whether digital or AI information is accurate or trustworthy drains my focus and mental energy. ,Switching between my own ideas and AI-generated suggestions makes it harder to stay in flow. ,I sometimes catch myself thinking about how to think when I use AI or digital systems. ,I lose track of what thoughts are mine versus what came from a digital or AI tool. ,Even brief sessions with digital or AI tools can leave my mind cluttered or overstimulated. ,I rely on digital or AI suggestions to make many everyday work or personal decisions.  ,"When digital or AI advice conflicts with my instinct, I usually follow the system’s recommendation. ",I feel less confident making decisions without digital or AI input. ,Letting AI or digital systems decide for me saves time but leaves me feeling detached from the outcome. ,"After following AI advice, I sometimes question whether the decision was truly mine. ",Using AI tools blurs the line between my judgment and automation. ,I worry that depending on digital or AI systems weakens my independent decision-making over time. ,"Even after I stop using AI or digital tools, my mind keeps replaying the interaction.  ",I find it hard to mentally switch off after spending time with digital or AI systems. ,I need time away from screens or AI tools to feel like myself again. ,Taking short breaks from AI or digital input helps me clear my head. ,"When I spend a day disconnected from AI or digital systems, my thinking feels calmer and more grounded. ",I feel uneasy or restless when I’m not able to use digital or AI tools for long periods. ,"In your own words, describe how using digital or AI tools affects your ability to think clearly, make decisions, or rest your mind.  ",What is your age group?,Country of residence,Which of the following best describes your gender?
Yes,Employed full time,Yes,Rarely,4,5,4,5,2,4,2,1,7,7,4,4,7,1,1,5,7,7,1,It makes it harder for me to figure things out on my own. ,25 - 34,US,Woman
Yes,Employed full time,Yes,Sometimes,2,2,1,2,1,2,3,3,2,2,4,5,6,2,2,2,2,4,3,"I think AI is just a tool that helps me get to solutions and answers faster. I will say that now that I have it in my pocket, I will often rely on it do to the thinking for me, instead of coming to conclusions myself. ",25 - 34,US,Man
Yes,Unemployed and looking for work,No,Rarely,3,4,7,4,1,7,1,4,1,7,7,7,7,4,4,3,4,4,1,I have only used Ai a few times because it makes me feel like I cannot think for myself and takes away my critical thinking skills. The few times I used it I felt unsure if I was truly making decisions myself and it confused me more than if I had put the effort in to make a decision without it.,18 - 24,UK,Woman
Yes,Employed full time,Yes,Sometimes,5,5,5,3,2,4,1,1,1,5,2,3,7,1,1,5,7,7,1,"I find that using AI tools helps streamline tasks that are mundane or tasks that feel so large that I'm not sure where to start. However, I feel at unease when tasks are fully done by AI because it makes me worry about my own critical thinking abilities",25 - 34,US,Woman
Yes,Employed part-time,Yes,Sometimes,5,6,2,3,1,6,1,2,3,2,1,4,7,1,1,1,4,4,1,I need to be on guard for wrong information frequently. I feel that I'm actually training it sometimes and it's taxing.,55 - 65,US,Woman
Yes,Self-employed / freelance,Yes,Very often,5,6,4,5,3,3,3,2,2,5,6,6,7,1,1,4,6,6,5,"They can overload me with information which I cannot be sure is true or contradict my own knowledge, which is confusing. ",35 - 44,UK,Man
Yes,Unable to work due to illness or disability,Yes,Sometimes,3,1,6,1,1,3,1,1,2,3,1,1,5,2,3,1,5,3,1,"It becomes too easy to start using the digital or AI tools more and more to get more ideas, rather than stop and think for myself.",35 - 44,UK,Woman
Yes,Employed full time,Yes,Everyday,3,3,3,2,2,1,5,5,3,6,5,6,7,6,5,7,7,5,2,I think using AI tools can affect my ability to think critically and be quite lazy. ,35 - 44,UK,Woman
Yes,Employed full time,No,Rarely,3,6,6,6,6,6,3,5,3,5,5,3,5,5,3,5,3,5,3,I think it feels like it add clutter. It's hard to pick a part AI results into something refined. ,25 - 34,US,Woman
Yes,Student,Yes,Everyday,2,2,5,4,5,3,6,3,5,5,6,6,7,4,5,3,3,3,4,"I worry I have an over reliance on AI tools, and that I will be slower or more likely to overthink simply decisions in the future.",18 - 24,UK,Man
Yes,Employed full time,Yes,Everyday,5,4,4,1,2,3,6,4,2,4,2,2,5,1,1,1,5,3,1,"Sometimes I can see things that I don't want to think about, and even when I ask AI tools questions that I can actually solve, I dull my brain by not letting it work.",35 - 44,UK,Woman
Yes,Employed full time,Yes,Occasionally,4,4,5,3,2,5,3,3,2,4,2,4,6,3,4,3,6,3,2,It takes the pressure of a decision away although I dont want to rely on it.,35 - 44,UK,Woman
Yes,Unemployed and looking for work,Yes,Everyday,1,1,1,1,1,1,5,4,1,1,4,4,4,1,1,1,1,7,1,"Using for every small decision will make my mind think I should stop over using it, use it only necessary and my mind will not make right decisions.",25 - 34,US,Woman
Yes,Employed full time,Yes,Often,2,4,4,2,1,2,5,2,1,4,1,1,1,1,1,1,1,1,1,I find AI very useful for certain tedious tasks such as analyzing large data sets and making sense of a large amount of data.  AI does not hinder my abilities regarding decision making or clear thinking ,55 - 65,US,Man
Yes,Self-employed / freelance,Yes,Everyday,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,it does not affect it at all,35 - 44,US,Man
Yes,Employed full time,Yes,Very often,3,2,2,1,2,1,4,2,4,3,5,5,6,2,2,4,5,4,1,My mental ability is certainly negatively affected because I don't have to use my brain much when using AI tools. They do the work for me.,45 - 54,UK,Woman
Yes,Unemployed and looking for work,Yes,Often,2,2,1,2,2,2,1,1,1,1,4,3,3,3,2,2,5,4,1,"I only use AI when I really can’t make the decision myself and need some guidance or extra support. I use my own mind first and 2nd AI. So AI doesn’t affect my ability to think clearly, make decisions or rest my mind ",45 - 54,UK,Woman
Yes,Employed part-time,Yes,Sometimes,5,6,4,5,3,4,3,4,3,4,4,4,3,4,4,5,6,5,3,"Using AI can help me think clearer most of the time because it organizes my thoughts and I have ADHD so its normally hard to do this and it also breaks things down for me. However, if i use it too much or too long my brain shuts off as if I am relying on it too much. I think it makes the decision making process a bit easier but i definitely need my breaks from it to reset myself.",25 - 34,US,Man
Yes,Self-employed / freelance,Yes,Occasionally,2,4,7,3,4,7,1,1,1,7,6,7,7,3,4,7,7,7,1,"It makes me think less critically and less able to think for myself so I feel very uneasy about using it and the implications of others using it. I feel that people will lose the ability to research, write well and think for themselves. They will also lose the ability to spend a lot of time working on things and thinking about ideas. They may also not trust their own ideas without checking with AI. I feel overwhelmed when using technology. ",35 - 44,UK,Woman
Yes,Employed part-time,Yes,Sometimes,4,5,4,5,2,4,3,2,2,3,2,3,4,3,4,5,6,6,2,"Using digital and AI tools helps me get things done, but they can leave my mind feeling a bit cluttered if I use them too long. I still rely mostly on my own judgment, and I need regular breaks from screens to think clearly and reset.",45 - 54,US,Man
Yes,Employed full time,Yes,Sometimes,5,5,5,5,5,4,5,3,3,4,3,3,3,2,2,2,5,3,1,I think it just improves on my thinking process and improves how I function.,35 - 44,US,Woman
Yes,Retired,Yes,Very often,5,6,4,3,4,5,3,2,2,6,5,4,6,2,3,6,5,5,2,"Although using AI can be helpful, I find I am clarifying the information given quite often. Sometimes I just bypass AI and just search or go about my task without AI. This way I start off searching credible sites. I do think AI seems to be getting better, but I still find sometimes I an better off doing projects or searches on my own.",55 - 65,US,Woman
Yes,Self-employed / freelance,No,Rarely,2,5,2,1,1,5,1,1,1,1,6,6,6,1,1,6,6,7,1,I work ai tools just create a feedback loop and encourage what you were already thinking instead of helping one to use critical thinking skills,45 - 54,US,Woman
Yes,Self-employed / freelance,Yes,Everyday,2,6,4,3,2,2,2,2,1,3,3,4,3,2,1,3,3,4,3,It makes me wonder how I can go about confirming the AI results. Sometimes there is no immediate way to do so and I'm left with doubt about the usability of the results.,35 - 44,US,Man
Yes,Self-employed / freelance,Yes,Often,5,7,5,5,3,5,4,3,3,5,4,5,6,1,5,6,5,7,4,Most of my interactions are with the AI summaries that my browser supplies when I do a search. I find that it's easy to rely on those summaries when I know that they are frequently less than accurate. Something about the presentation gives them a sort of authority. I have to force myself to check them. I worry about the implications for decision making.,45 - 54,US,Man
Yes,Employed full time,No,Never,2,3,1,1,1,1,1,1,1,3,1,1,1,1,1,2,4,4,1,I don't use AI for anything except when it is foisted upon me,35 - 44,US,Man
Yes,Self-employed / freelance,No,Rarely,4,5,4,4,2,5,1,2,2,6,3,5,6,3,5,6,5,5,6,"I think generally spending too much time on screens clutters your brain and because of the stimulation, when you leave it, there is always some time afterwards where you think you should go back to get this done or look up that or check email. ",45 - 54,UK,Woman
Yes,Employed full time,Yes,Occasionally,4,5,3,2,1,4,1,3,2,5,5,6,6,1,1,1,4,5,1,"I don't tend to have any issue with thinking clearly, making decisions or having a restful mind with AI use but I tend to prefer to not be over reliant on AI as I don't trust it 100% & think it is better to have human input without too much AI.",35 - 44,UK,Woman
Yes,Self-employed / freelance,Yes,Occasionally,5,5,2,3,1,2,3,3,1,2,2,2,2,4,2,5,5,5,1,Sometimes I’m just looking for objectivity and AI can provide that when I’m too caught up in my own head. ,35 - 44,US,Woman
Yes,Employed part-time,Yes,Sometimes,5,5,4,4,4,4,4,5,2,2,2,2,2,2,3,3,5,5,4,It is good to get fairly reliable information from from AI on lots of issues. One does not hsve to work out everything oneself so can get on with tasks faster ,55 - 65,UK,Woman
Yes,Employed full time,No,Rarely,3,6,5,3,1,2,1,1,1,6,1,1,1,1,1,6,7,7,1,I only use them minimally and I don't find they impact my ability to make decisions,18 - 24,UK,Woman
Yes,Employed full time,Yes,Sometimes,2,2,2,1,3,2,1,5,2,5,4,6,7,2,1,2,4,4,1,"I think using AI tools is almost lazy, when I've used AI, I'm basically using AI to do the thinking for me. I'm not convinced this is a good thing overall for the human race. ",35 - 44,UK,Man
Yes,Self-employed / freelance,No,Never,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,"I usually do not use AI UNLESS a mini-job I do for a company or so require it. This said, AI tools are not my thinking, and I rely om ,y own decisions instead of a system. In this case, it does not affect me to think clearly, to make decisions on my own, or to rest my mind.
",45 - 54,US,Woman
Yes,Employed full time,Yes,Everyday,5,3,5,3,5,6,5,4,5,4,4,5,5,6,4,5,4,5,5,AI helps me consider pitfalls and alternatives when it comes to making decisions and critical thinking.,18 - 24,US,Man
Yes,Employed full time,Yes,Often,2,4,2,6,6,4,2,1,4,4,4,3,3,2,1,1,2,4,1,I think it enables me to think and look at a problem from a different POV. However there can be times where info provided can be overwhelming,25 - 34,UK,Man
Yes,Employed part-time,No,Often,3,6,4,3,1,1,1,1,1,5,1,3,7,2,3,2,5,5,1,I think it makes me reliant on it and damages my critical thinking skills,35 - 44,US,Woman
Yes,Employed full time,Yes,Occasionally,5,7,3,2,2,4,1,1,2,4,2,4,6,1,6,5,6,7,3,I think it fills my head with useless information and makes it harder to focus. I find it harder to sleep after using digital technology.,45 - 54,UK,Woman
Yes,Employed full time,Yes,Often,3,3,5,3,2,2,2,2,2,4,5,5,6,2,2,5,5,4,1,The tools take my mind off in a different direction and make me think of questions I didn’t necessarily intend to ask ,45 - 54,UK,Woman
Yes,Employed full time,Yes,Occasionally,1,2,1,2,1,1,4,1,2,2,2,2,2,1,1,1,2,2,2,"I don't really use AI in that way. I get it to make up poems, or suggest songs to go with my instagram posts. It's not making decisions for me",45 - 54,UK,Woman
Yes,Self-employed / freelance,Yes,Sometimes,2,6,2,5,1,1,3,2,1,1,1,2,4,1,1,1,5,2,1,"The only issue I have with AI in how it affects me mentally is that I feel it makes me lazier and dumber in some ways. Like instead of remembering stuff on my own, I might ask an AI with very little information and it always figures out what I was trying to remember. So, I have kind of stopped myself from immediately relying on that unless I really cannot remember the name of something after a while. It's all about balance I guess. It has improved my writing, though.",35 - 44,US,Woman
Yes,Employed full time,Yes,Often,3,5,4,3,3,3,3,4,5,5,1,3,6,1,2,2,1,2,1,"i am not good at making decisions so they help me, not hinder",35 - 44,New Zealand,Man
Yes,Retired,Yes,Often,4,6,4,6,7,4,4,1,1,7,7,7,7,1,1,4,7,7,1,"AI is good for certain tasks, but it can provide too many options, incorrect or irrelevant information. It seems to be taking away my own creativity and imagination. It is so easy and convenient, I do feel tempted and that is why i force myself to stop at times, to detach.",Over 65,US,Man
Yes,Employed full time,Yes,Everyday,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,It makes it easier to make decisions,25 - 34,US,Man
Yes,Employed part-time,Yes,Often,3,1,3,2,2,1,4,3,5,5,2,3,2,2,1,4,6,4,2,You become more reliant on these tools and often become lazy and use common sense. It is easier to just use AI tools as opposed to thinking hard,25 - 34,UK,Woman
Yes,Retired,Yes,Occasionally,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,"It doesn't. It is possible that if I used them more than I do, it could affect my ability to think clearly, but I only occasionally use them and I do not feel any effect on my ability to think or make decisions.",Over 65,US,Woman
Yes,Employed part-time,No,Rarely,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,4,4,It consumes me sometimes to the point where it can become addictive.,35 - 44,UK,Woman
Yes,Unpaid full-time carer fo non-family member,Yes,Everyday,6,2,1,6,1,3,2,1,1,4,1,1,1,3,3,2,5,2,1,"I sometime get annoyed when ChatGPT fails to follow instruction which can leave me feeling stressed out for a while.  I tend to go away and calm down and then rather get back involved in a prompt tussle again, interrogate it for why it is behaving the way it is and how to avoid unwanted outcomes, which has been very successful.  I don't believe AI particularly affects my ability to think clearly or make decisions at all.",45 - 54,UK,Man
Yes,Employed full time,Yes,Very often,6,5,5,4,3,5,3,3,3,4,4,5,5,4,5,4,4,5,4,"When I use digital tools too often, I feel like my mind becomes dependent on them to make even the most basic of decisions, so I have to step back and use my brain as it is intended to get myself re-focused again.",55 - 65,US,Woman
Yes,Unemployed and looking for work,Yes,Sometimes,5,6,5,5,2,5,2,1,1,5,5,5,5,4,3,5,5,6,1,"It sometimes makes me doubt myself, although it can definitely help make interesting and useful suggestions.",25 - 34,UK,Man
Yes,Employed full time,Yes,Everyday,2,4,5,2,2,2,2,2,1,3,3,4,5,3,2,5,5,3,2,Sometimes makes you question your own judgement ,45 - 54,UK,Man
Yes,Self-employed / freelance,No,Never,6,7,7,5,2,5,1,1,1,1,3,1,1,1,1,7,7,7,1,"It is mentally taxing to use something that is a simulacrum of the human mind, a little redundant and awkward.",35 - 44,US,Non-binary
Yes,Self-employed / freelance,No,Rarely,4,4,6,3,1,4,2,3,1,4,5,5,6,1,1,5,7,6,4,It makes me feel a little less competent when I need to use AI.,35 - 44,US,Woman
Yes,Student,Yes,Sometimes,5,3,2,3,5,2,1,1,1,1,2,4,2,1,1,1,1,1,1,"I don't think it has any negative impact on my ability to think clearly, make decisions, or rest my mind. I think it is a tool to come up with more ideas to help me make a more informed decision",18 - 24,New Zealand,Man
Yes,Employed full time,Yes,Everyday,4,3,6,5,3,4,4,1,1,5,7,7,7,5,4,7,7,5,2,I think it's good if it's on way. And it really makes the decision for you if you really think about it you ask a question and it give you an answer to this pretty much put anybody in between accepted and you lose sense of self,55 - 65,US,Man
Yes,Employed full time,Yes,Sometimes,5,5,6,6,2,5,2,1,1,1,2,2,4,1,1,2,4,2,1,"i dont think it affects my thinking at all, merely enables efficiency in the minutae of work",55 - 65,UK,Woman
Yes,Employed full time,Yes,Very often,3,5,2,4,2,2,5,3,5,2,2,2,1,1,1,1,2,1,3,"I think it helps me consider new options in the decision making process, or reinforce how I feel about the options. Its more an assistant than a driver in thinking and making decisions .  ",25 - 34,US,Man
Yes,Self-employed / freelance,Yes,Everyday,3,7,5,4,5,3,7,4,7,7,7,3,7,4,1,5,5,7,7,"Using AI tools seems to have an affect where it drags me into a rabbit hole if that's a good way to put it. It seems to capture my mind and make me want to keep engaging and keep generating more from more prompts. I think it helps me learn more about the world but I find that I start to overly rely on it and if I try not to use it, I find that I feel less confident about my own decision making ability.",25 - 34,UK,Man
Yes,Self-employed / freelance,Yes,Often,5,3,5,6,2,4,4,1,2,4,6,3,7,2,3,7,7,7,3,"Sometimes it help to not overthinking. If I suggest AI to be brutally honest and get to the point, it is easier for me.",25 - 34,UK,Woman
Yes,Employed full time,No,Occasionally,5,6,4,4,2,5,2,3,2,3,3,4,3,2,3,3,5,4,2,"I think it doesn't let me think as critically as I should. I think there's a lot of information, so it's gets a bit draining. I do need a break after using AI tools every once in a while.",25 - 34,US,Woman
Yes,Self-employed / freelance,No,Rarely,2,2,1,2,1,1,1,1,1,5,5,5,7,2,1,2,5,1,1,Using digital tools is merely a supplement to my own thoughts. I am always in control and don't have a burnout problem.,Over 65,US,Man
Yes,Employed full time,No,Never,4,3,4,3,2,3,1,4,3,4,5,4,6,2,1,4,4,4,1,I think ai tools have advanced so much that they are very persuasive,45 - 54,UK,Man
Yes,Employed full time,No,Occasionally,6,4,5,5,2,5,3,3,5,6,4,4,4,5,3,5,3,5,5,"I sometimes use AI to write emails or work for me when I've hit a block, I'll ask it to add empathy or soften what I've said. I usually use it to edit rather than to create. I find that it makes me feel like i'm getting more stupid and less able to think for myself - i feel lazy when I use it because I'm quite capable of doing the tasks i'm asking it to do",25 - 34,UK,Woman
Yes,Employed part-time,No,Rarely,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"They don't. I have only used AI on my own twice, and even though, I asked a simple question, AI answered it, and I was done.",35 - 44,US,Woman
Yes,Student,Yes,Often,4,2,3,4,4,2,4,4,3,2,2,2,2,1,1,2,3,4,2,I feel like sometimes I cannot think for myself depending on the context. But it has helped me at times.,18 - 24,UK,Man
Yes,Employed part-time,No,Rarely,2,5,5,2,2,4,1,3,1,5,1,6,6,2,1,3,5,6,1,"Using AI makes me over think the outcome, whether its correct and whether I should be using it as part of day today life",25 - 34,UK,Woman
Yes,Employed full time,Yes,Often,3,3,5,6,3,2,3,1,3,7,5,6,7,2,1,1,2,3,1,It allows me to think about the issue i’m trying to fix and the grammar and spelling and structure can be done by AI. That way i don’t have to worry about anything other than the thing i’m trying to figure out. ,25 - 34,Australia,Man
Yes,Employed full time,Yes,Occasionally,5,3,6,4,3,5,1,1,1,2,2,4,7,1,1,1,1,4,1,"Using AI doesn't affect me much in life as I try to avoid using it as much as possible. I sometimes use it when writing greetings cards / messages, which can make me feel like the message hasn't really come from me.",18 - 24,UK,Woman
Yes,Homemaker / caring for family,No,Sometimes,4,5,6,5,6,3,2,6,1,5,5,5,7,2,2,6,6,6,5,I think it can be a bit overwhelming at times using all these tools and yes your mind can feel a little overstimulated afterwards ,45 - 54,UK,Woman
Yes,Student,Yes,Very often,6,5,3,6,3,2,2,2,1,5,5,5,6,2,2,2,6,3,2,It makes me think more to try and refine an output that i want the ai to produce but relying on everday decisions for ai make me feel reliant and incapable of thinking,18 - 24,UK,Man
Yes,Employed full time,No,Rarely,4,5,5,2,1,5,1,2,1,4,2,6,7,2,2,7,6,7,1,"I am worried about ai, and I don’t trust it",35 - 44,UK,Man
Yes,Retired,Yes,Sometimes,5,5,5,5,5,5,3,3,3,4,5,5,5,6,4,7,7,6,2,"I am one of those people who are always thinking. I like using my mind. I compose essays about things in my head.  AI doesn't bother me as an idea generator, but it stresses me if it suggests points, arguments, etc. for an idea that is mine. I also dislike suggestions for making choices unless I specifically ASK for that. It's unsettling, confusing and also in some way feels like cheating. ",55 - 65,US,Woman
Yes,Employed full time,Yes,Occasionally,3,2,1,3,1,1,4,4,2,2,1,2,3,1,1,1,3,1,1,i use it in work to help with stock control honestly it help me well,35 - 44,UK,Man
Yes,Employed full time,Yes,Often,1,1,1,1,1,1,5,2,1,5,6,2,1,1,1,1,1,1,1,It doesn’t change ,35 - 44,UK,Man
Yes,Employed full time,Yes,Very often,4,4,6,4,2,4,2,2,1,4,1,1,5,1,1,1,1,5,1,"I'm only using AI tools on an irregular basis, but daily. So far, I haven't found it affects my ability to think clearly or make decisions.",45 - 54,Australia,Woman
Yes,Self-employed / freelance,No,Occasionally,3,6,2,4,2,3,2,1,1,1,3,4,6,5,3,7,2,2,1,It sometimes impairs my thinking as I look to AI to help me clarify a decision I've made`,45 - 54,UK,Man
Yes,Employed part-time,Yes,Occasionally,1,1,2,3,6,5,1,5,1,1,1,4,5,1,1,2,4,4,1,"its a tool, an aid - its not a replacement for my human brain. its there to help (like any other tool) the tone of the question implies some kind of 'grip' or addiction which is hard to 'wean' yourself off of",55 - 65,UK,Man
Yes,Employed full time,Yes,Everyday,5,3,3,4,2,4,5,4,3,3,3,2,1,1,2,2,2,2,2,"AI tools are useful in my day-to-day activities, like paraphrasing and generating inage",25 - 34,UK,Man
Yes,Employed full time,Yes,Very often,4,5,4,3,2,2,4,3,2,3,2,3,4,3,4,5,6,5,2,"Using digital or AI tools can sometimes make it harder to think clearly and relax, as they often leave my mind busy and overactive.",35 - 44,UK,Man
Yes,Self-employed / freelance,Yes,Sometimes,5,6,4,5,2,5,2,2,6,4,2,4,5,2,4,5,6,4,5,"It helps me to summarise potential negative outcomes of a decision and have a list of pros and cons to consider, in order to make a faster decision without a lot of research.",25 - 34,UK,Prefer not to say
Yes,Self-employed / freelance,Yes,Sometimes,4,6,4,5,5,5,5,4,5,5,4,4,4,4,5,4,4,4,5,Get answers without really thinking about it.,35 - 44,UK,Woman
Yes,Self-employed / freelance,Yes,Occasionally,2,7,2,1,1,2,1,1,1,1,1,1,4,1,1,1,6,2,1,"I have to use AI tools for work occasionally (several times a week as a freelancer), and I find having to interface with them to be frustrating and redundant most of the time. I wouldn't interact with them if I could avoid doing so, as I'm highly computer-literate and prefer normal digital tools and software that I am in full control of (like running batch scripts).",25 - 34,Australia,Woman
Yes,Employed full time,Yes,Occasionally,3,6,5,3,2,3,2,5,5,2,5,6,3,2,2,5,5,4,2,"If focuses your mind on the initial choices to be  made.

; ",45 - 54,UK,Man
Yes,Employed full time,No,Occasionally,2,2,2,3,2,2,1,1,1,2,2,2,3,1,1,1,2,2,2,I haven't experienced any problems using digital or AI tools,35 - 44,UK,Man
Yes,Employed full time,No,Rarely,6,7,2,1,2,3,1,1,1,2,2,1,7,1,1,4,5,7,1,Using AI feels like not fully utilising my own abilities which in turn diminish,35 - 44,UK,Man
Yes,Employed full time,Yes,Often,6,4,5,7,2,4,5,2,2,6,7,5,7,4,3,3,4,3,4,I tend to dive deeper when AI keeps makeing more suggestions or offering more ways to help. I want to just get an answer sometimes and not keep going when they ask if I constantly want more help (ChatGPT ),Over 65,US,Woman
Yes,Employed full time,Yes,Very often,5,6,4,4,5,6,4,3,2,5,4,6,6,3,4,7,7,7,2,"These tools can be helpful but I increasingly feel like they are too much, and I want to step away from using them. But I can't, I need them for my work. Everything feels too ""noisy"" when I use these tools - too many distractions, hard to keep focus. The modern world feels so busy and overstimulating. When I'm able to step away, I feel my brain ""relaxing"" and ""breathing"". I always feel so much better, much healthier.",35 - 44,UK,Man
Yes,Retired,No,Occasionally,1,1,1,1,1,1,4,3,2,2,2,1,1,1,1,1,1,1,1,AI is a tool that gives good solid additional information that helps me make a good decision. It also helps in most cases confirm my decision by giving supporting information. It also gives suggestions that I may have not thought of. It is a great tool for me. It is a search engine on steroids.,Over 65,US,Man
Yes,Self-employed / freelance,Yes,Often,5,3,6,5,3,4,5,3,1,4,1,2,4,3,3,5,7,4,1,"Though I use AI agents frequently, I consciously choose to remember that these are tools that are helping me. They are not making decisions for me. I believe in ""Augmented Intelligence"" - I am using AI to augment my own intelligence. I do not rely on AI solely, especially not for decisions. Digital tools and screen use is another matter. I spend most days working at my laptop and when I'm not on my laptop I'm on my cellphone reading news or using apps. If I get a day or a few hours when I'm out doing something that prevents me from using my phone, I appreciate it and my mind feels more rested, but I'm not conscious for the most part of my mind being fatigued by my constant screen use at other times.",55 - 65,US,Woman
Yes,Employed full time,Yes,Often,2,4,2,1,1,3,1,3,3,4,2,5,4,3,3,1,3,4,1,"Often use AI to check my understanding of topics by including phrases like ""UK law"". Whether agrees or disagrees with me, helps me make decisions or decide to research further.",25 - 34,UK,Woman
Yes,Self-employed / freelance,Yes,Often,4,5,5,4,5,5,3,2,3,5,5,4,4,2,3,4,6,3,4,"It allows me to sort of rest my mind, but I feel it's hard to get back into my rythym iff I spend too much time with AI",25 - 34,US,Man
Yes,Student,Yes,Very often,3,3,2,5,4,2,2,5,3,5,4,5,4,5,3,3,4,3,5,"Sometimes it makes me lazy and take shortcuts when I know it shouldn't, but it does make things easier and more efficient in my mind.",25 - 34,US,Man
Yes,Student,No,Never,1,5,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,I do not use AI tools specifically because I think it would undermine my ability to think and make decisions and do things for myself,25 - 34,UK,Woman
Yes,Employed part-time,Yes,Everyday,5,3,3,1,1,1,6,4,5,2,2,4,2,3,1,1,3,2,3,Using AI tools helps me make decisions and see things clearly. I don't have a need to 'rest my mind' because of using AI tools. AI tools helps me see things and find solutions to things much more quickly and from various 'perspectives' than I could ever glean myself and or with others within a quick timeframe. ,55 - 65,Australia,Woman
Yes,Employed full time,Yes,Everyday,7,7,7,7,5,6,7,7,7,7,5,6,7,5,5,6,6,6,3,"It helps me think more clearly and make decisions more easily by rationalizing my thoughts and providing me with other perspectives or inspiration, that I may have not previously considered.",18 - 24,UK,Man
Yes,Employed full time,Yes,Often,3,4,5,5,3,3,5,5,6,6,5,5,6,2,2,3,5,4,3,It allows me to bounce around ideas with the AI and ultimately helps me form a conclusion or better understanding of something. I can ask any questions i may have no matter how poor they are and put my mind at ease by finding things out quickly.,25 - 34,UK,Man
Yes,Employed full time,Yes,Occasionally,3,3,3,2,2,1,3,2,1,5,3,5,6,1,1,2,4,5,5,"I try not to use AI tools too often, because I feel like it cripples my ability to be creative and too much use can feel like a crutch.",35 - 44,UK,Man
Yes,Employed full time,Yes,Often,4,3,2,5,6,3,5,5,4,6,6,6,7,5,6,7,7,7,3,We depend more and more on AI and loosing our creativity and mental work,55 - 65,UK,Man
Yes,Self-employed / freelance,Yes,Occasionally,4,4,3,5,3,4,3,2,2,5,4,4,4,6,5,4,5,4,4,I sometimes may use AI to give overview or important points on a topic I am researching or writing about- especially if I have writer’s block. But sometimes I am asked to use AI for a task and it bothers me that I am required to consider or use AI suggestions…,55 - 65,US,Woman
Yes,Employed full time,Yes,Often,5,1,5,4,1,1,3,3,2,2,1,2,1,1,1,1,3,1,2,It doesn't really help me to do any of those things - I mainly use it to find information or for it to create things ,35 - 44,UK,Woman
Yes,Employed full time,Yes,Sometimes,5,7,3,2,1,4,1,2,1,4,4,4,5,1,5,7,7,7,1,"I only use AI search tools to get a quick summary about a subject I know little about. For me, it's just a means of getting started on researching something. I purposely avoid getting sucked into the world of AI because it is draining and not very productive. Keeping it's use to a minimum helps me to get the best out of it without feeling cluttered",35 - 44,UK,Woman
Yes,Employed full time,No,Never,4,6,2,1,1,3,1,1,1,2,6,7,7,1,1,4,5,4,1,"I think using ai prevents you from using your own brain to come up with solutions to problems. AI will just parrot back to you what you want to hear, not necessarily what you need to hear, and that can be confusing",25 - 34,UK,Woman
Yes,Self-employed / freelance,Yes,Sometimes,5,6,6,1,3,6,5,3,3,6,6,5,7,6,4,6,6,4,6,"I find myself getting annoyed with the AI when it makes mistakes or misunderstands me, this clutters up my head with distracting thoughts. I would rather I was able to take the time to think things through slowly, but due to time pressures this would be difficult to get back to.",55 - 65,UK,Woman
Yes,Employed full time,Yes,Everyday,5,6,1,1,1,1,7,3,5,2,1,2,7,1,2,1,4,4,5,I feel like AI has been mostly positive when it comes to helping me think and make decisions. I haven't noticed any negative impact. I am a little concerned with long term decision making though - I'm afraid that relying on AI will make me feel like I can't trust my own judgments.,25 - 34,US,Woman
Yes,Unemployed and looking for work,Yes,Often,2,3,2,2,3,4,3,3,2,3,2,3,5,4,3,2,4,3,2,"I would say it can be helpful for me to make a more informed decision, but don't feel like it has a strong effect on how I think or my ability to rest my mind.",35 - 44,US,Man
