consent,prolific_id,work_status,ai_tools_use,ai_tools_frequency,mentally_taxed_ai_prompts,ai_info_trust_drains_focus,switching_ideas_ai_flow_harder,meta_thinking_when_using_ai,lose_track_own_vs_ai_thoughts,brief_ai_sessions_mind_cluttered,rely_ai_suggestions_decisions,follow_ai_over_instinct,less_confident_without_ai_input,ai_decides_detached_from_outcome,question_if_decision_truly_mine_ai,ai_blurs_judgment_automation,worry_ai_weakens_independent_decisions,mind_replays_ai_interactions,hard_to_switch_off_after_ai,need_time_away_to_feel_myself,short_ai_breaks_clear_head,day_disconnected_ai_calm_grounded,uneasy_without_ai_long_periods,open_text_ai_effects_on_thinking,age_group,country,gender
Yes,5fba1c3bc7bb9a62797d57d0,Employed full time,Yes,Everyday,5,4,4,4,2,2,4,2,4,3,4,4,4,2,4,4,4,4,1,Sometimes I can be indecisive about whether to use the idea from AI or my own but I overcome the indecision quite quickly.,45 - 54,UK,Man
Yes,5fd6744da6778c581ec7bcef,Employed part-time,Yes,Occasionally,3,5,3,2,1,4,1,1,1,2,2,3,5,2,5,5,5,4,5,I don't use AI a lot at present. However I do use digital tools everyday.  I find that I can get pulled down different rabbit holes and need a clear purpose and time frame to remain clear and focused. My mind looks for the distraction of digital tools. I worry about that. However when I am working creatively or writing something- it is still my work. I don't use AI to help me draft at present.  ,55 - 65,Ireland,Woman
Yes,5fd76b7d246a3705a25c9a94,Employed part-time,No,Rarely,2,3,1,1,1,2,1,1,1,4,4,4,5,1,1,2,4,5,1,I don't use AI programmes very often but I can definitely tell when I have been using screens too much and know I need to take a break and unwind. I think too much tech use is not something our brains are used to.,35 - 44,UK,Woman
Yes,5fd979cd5bc47d2522d06e18,Employed full time,Yes,Sometimes,3,6,2,3,2,3,2,1,2,4,5,5,5,1,1,1,4,5,1,"i like using it to summarise large amounts of data in a concise way that helps me make choices, so it can be helpful, however on occasion i have noticed the summaries produced are not always accurate or are missing context so i still need to have a good grounded understanding of the source data",35 - 44,Australia,Man
Yes,5fefefa4c9707d3516361c9c,Employed full time,Yes,Sometimes,1,1,1,2,1,1,2,4,1,2,2,2,6,1,1,1,4,2,1,"The only problems I experience are if I spend hours using the computer with no breaks. I have to get up, walk away and take breaks or else I feel fried.  I have no problems with AI",55 - 65,US,Woman
Yes,5ff238852178d171f9c973b7,Employed full time,Yes,Often,4,5,3,4,3,3,5,4,5,4,4,5,4,5,4,4,5,3,5,"Using AI tools both helps and hinders me.  AI can help free up my mind by doing a lot of leg work and analysis for me.  On the other hand, sometimes I can find myself overrelying on AI without using enough of my own reasoning.  Therefore, AI can help free up some mental capacity for me to think, but it can hinder my decision making process if I rely on it too often.",25 - 34,US,Man
Yes,5fff2877a99bcb65a14a223c,Employed full time,No,Sometimes,4,5,5,5,4,4,5,6,5,5,5,5,2,2,2,2,2,2,2,"Using digital or AI tools helps me make quicker decisions, but constant use can clutter my mind and make it harder to fully switch off",25 - 34,UK,Man
Yes,6008bb26b4bbfe568fa29d80,Unemployed and looking for work,No,Occasionally,4,4,5,5,5,3,2,4,2,2,3,4,3,2,2,2,4,4,2,"I don't use AI tools to help me make decisions, I mostly use it to learn",25 - 34,US,Man
Yes,60107ab840ea853ac4654517,Employed full time,Yes,Very often,4,6,5,2,3,2,2,5,2,6,5,4,6,4,2,2,5,3,1,It doesn’t? I find that I can think quite clearly regardless,35 - 44,UK,Woman
Yes,601171f52ffe110619bc0d93,Employed full time,Yes,Sometimes,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,7,4,1,"I don't feel it does, I only use it sometimes and when I do, it is me that feeds the info. to AI in the first place then I myself decide which piece of info. it provides I will use",55 - 65,UK,Woman
Yes,601c277aabe00c6bc759bf69,Employed full time,No,Occasionally,2,3,4,4,1,2,1,1,1,4,4,3,6,1,1,1,4,4,1,I avoid using it unless absolutely necessary. I believe it reduces people's critical thinking skills,25 - 34,UK,Man
Yes,601ef22cb13fd83f1f43393e,Employed full time,No,Occasionally,2,2,2,3,2,2,1,1,1,2,2,2,3,1,1,1,2,2,2,I haven't experienced any problems using digital or AI tools,35 - 44,UK,Man
Yes,60250e892b5c5727eeeef076,Retired,Yes,Everyday,1,2,2,2,2,2,2,1,3,2,2,2,1,1,1,1,1,1,1,Using AI tools like chat GPT does not affect my ability to think clearly if anything is helps me make decisions regarding purchasing items or deciding how to do something. I actually find using chat GPT allows my mind to be cleared rather than spending ages thinking about something I can get a quick answer from chance GPT and then can move on.,Over 65,UK,Man
Yes,6034cb7ee10e21aaad71814a,Employed full time,Yes,Sometimes,2,3,2,2,2,1,1,2,2,1,2,3,2,2,1,1,3,4,1,I think using AI tools helps me think and gives me ideas which help me come to conclusions faster ,25 - 34,UK,Woman
Yes,603d3e53d42711c0d0c38b30,Employed full time,Yes,Everyday,6,6,5,6,7,5,5,3,4,7,7,7,7,3,3,7,7,7,1,"I often find myself with brain fog after having used AI systems throughout the day, as it almost stops my brain from forming its own thoughts as I find myself automatically going to ChatGPT for a quick answer.",25 - 34,UK,Woman
Yes,6043df064bb99241f1a7c32d,Employed full time,Yes,Sometimes,3,2,4,2,4,4,1,4,1,1,1,2,5,3,1,1,1,4,1,Algorithms basically deciding and recommending videos on YouTube and same with Netflix! Showing you content that you may like going off previously watched series and films. Sometimes it can have you in a bubble in which you basically watch content YouTube recommends.,25 - 34,UK,Man
Yes,6048c1da4fb34916883f2e7d,Homemaker / caring for family,No,Rarely,2,2,2,2,2,2,1,4,2,4,2,2,5,1,2,1,6,6,1,You become automated in the information that you are gathering and not all outcomes is based on your own information ,35 - 44,UK,Woman
Yes,604a7e9f84bf0e7937200df5,Employed full time,Yes,Sometimes,5,4,4,1,1,1,1,1,1,5,5,1,1,1,1,7,7,7,1,"I have very clear and set boundaries that I do not cross so it doesn't. But I do understand and have personally felt the potential for this to happen, when I first started using AI. But I then learned what it is really useful for which is moreso things like framing and giving you structure instead of actual judgement of quality of things.",25 - 34,US,Man
Yes,60524a9ece19f6b376473cf7,Employed full time,Yes,Often,1,1,1,1,1,1,5,2,1,5,6,2,1,1,1,1,1,1,1,It doesn’t change ,35 - 44,UK,Man
Yes,6054cdc28222dc1ca6f58d8c,Self-employed / freelance,Yes,Sometimes,4,6,4,5,5,5,5,4,5,5,4,4,4,4,5,4,4,4,5,Get answers without really thinking about it.,35 - 44,UK,Woman
Yes,605da0a3b78d54d78f618ba4,Self-employed / freelance,Yes,Often,5,6,6,5,6,5,5,2,4,5,6,6,7,5,5,6,5,6,4,I have become too reliant on AI tools and this has negatively impacted my ability to think and act independently and autonomously.  This has resulted in heightened anxiety. ,55 - 65,UK,Man
Yes,605ff0746397c26c436b88af,Self-employed / freelance,Yes,Occasionally,4,6,5,4,3,4,4,4,4,4,4,4,4,1,1,1,4,4,1,It doesn’t affect it much ,35 - 44,US,Woman
Yes,606b6705399a272af8238dad,Self-employed / freelance,Yes,Often,1,1,1,1,2,1,2,3,4,2,1,2,3,1,1,2,3,1,2,"Personally I think AI really helps me both personally  and in my business. I use it to ask advice on various topics, but also to create business emails, social media posts etc and I never really feel overwhelmed using it...",55 - 65,US,Woman
Yes,609c34dac301d73f3684005d,Employed full time,Yes,Often,5,7,6,5,2,7,1,1,1,1,7,7,7,1,4,5,3,7,1,It really blurs things and ive to waste time validating the outputs,35 - 44,Ireland,Man
Yes,609d952e0aeb66af769d89cb,Employed full time,Yes,Occasionally,5,3,6,4,3,5,1,1,1,2,2,4,7,1,1,1,1,4,1,"Using AI doesn't affect me much in life as I try to avoid using it as much as possible. I sometimes use it when writing greetings cards / messages, which can make me feel like the message hasn't really come from me.",18 - 24,UK,Woman
Yes,609eda349f5d29975fbc2145,Employed full time,Yes,Everyday,5,4,4,1,2,3,6,4,2,4,2,2,5,1,1,1,5,3,1,"Sometimes I can see things that I don't want to think about, and even when I ask AI tools questions that I can actually solve, I dull my brain by not letting it work.",35 - 44,UK,Woman
Yes,60a2a8570a0f9cc00d6b9d1a,Self-employed / freelance,Yes,Very often,4,4,2,6,2,3,5,2,2,4,2,2,3,2,1,1,2,2,1,I believe a large amount of screen time requires a break from it for short periods of time to rest the mind.,45 - 54,US,Woman
Yes,60ad389232ead133c46d932a,Employed full time,Yes,Occasionally,5,6,6,2,1,3,5,3,2,5,6,6,6,2,2,1,3,2,1,I feel a large sense of guilt when I use AI - like I am cheating,35 - 44,UK,Woman
Yes,60b9f19b32e36bf883457fdc,Self-employed / freelance,Yes,Very often,1,1,1,5,1,1,5,2,1,5,4,2,5,1,1,1,4,5,1,"I do sometimes think that using AI tools too much detracts from my ability/willingness to make my own independent decisions, which is slightly concerning to me.",55 - 65,UK,Woman
Yes,60bd4bfc88b646e72d772977,Employed full time,Yes,Sometimes,1,1,1,1,1,1,7,7,1,7,1,1,1,1,1,1,1,1,1,"I feel like it allows me to rest my mind. Normally for me, I just use AI to revise things, so I can confidently say they are at least my own thoughts.",35 - 44,US,Woman
Yes,60ceeec3a0bed4a1e603b8d7,Employed full time,Yes,Often,3,2,3,3,2,2,3,2,2,5,4,4,5,2,2,5,6,6,2,"I think the human mind needs to sit in silence and boredom to rest, and using digital/AI tools overstimulates the mind and detracts from the necessary silence.",35 - 44,US,Man
Yes,60d075b6af3d46debaf3cfd8,Unemployed and looking for work,No,Rarely,3,4,7,4,1,7,1,4,1,7,7,7,7,4,4,3,4,4,1,I have only used Ai a few times because it makes me feel like I cannot think for myself and takes away my critical thinking skills. The few times I used it I felt unsure if I was truly making decisions myself and it confused me more than if I had put the effort in to make a decision without it.,18 - 24,UK,Woman
Yes,60ddc62b071a009e0b0c2922,Employed full time,Yes,Occasionally,1,1,2,2,1,1,1,1,1,1,5,4,7,2,1,4,4,5,1,I just think it can make me feel more tired and just put me in a generally poor mood.,35 - 44,UK,Man
Yes,60e7db20a383c138681c72a2,Self-employed / freelance,Yes,Everyday,2,2,4,4,2,1,3,1,4,3,1,2,2,1,1,1,1,1,1,"AI tools are tools. I use them the same ways I use other tools. I translate screenshots with them. I correct grammar with them (not here :) ), I ask for recipes and so on. It would be weird to ask it for personal advice or start pouring my soul into computer. I use it as a tool and it is a great time saver compare to google. If its starts lying or pushing decisions - opening a new window usually solves a problem ",35 - 44,New Zealand,Woman
Yes,60e911d8667eccfdd32a590e,Employed full time,Yes,Often,6,5,3,6,3,5,5,4,3,5,3,4,5,5,5,5,5,6,3,"I usually find digital/AI tools useful in helping to cut down on the volume of information I need to use for my decisions and this is less overwhelming for me. However, I then tend to use them to make more decisions so it can be mentally taxing after a while.",35 - 44,New Zealand,Woman
Yes,60ed8f50e13ce18a6d406a09,Employed full time,Yes,Occasionally,3,3,3,5,3,3,2,3,3,4,5,5,4,3,3,5,4,5,2,"If I don't check every little thing, there's uncertainty about using it.",45 - 54,US,Man
Yes,60f8658bf9d1627d3bc87a3d,Employed full time,Yes,Often,4,4,4,1,4,1,1,4,1,4,4,4,4,2,2,2,2,4,4,i feel AI doesn't have a significant impact on my mind,25 - 34,UK,Woman
Yes,60ff13bf692c2c24bfe600fd,Employed full time,Yes,Often,5,6,6,4,4,4,5,4,3,6,5,6,6,4,5,5,6,6,3,Sometimes my mind feels convoluted after work and I need a break from screens,45 - 54,US,Woman
Yes,6100180297ab80766a61d66e,Homemaker / caring for family,Yes,Very often,5,6,2,2,1,2,5,2,1,2,3,2,2,1,1,1,1,1,1,"I don't think that it affects my ability to think clearly, make decisions, or rest my mind. I am still very independent in my thoughts and tend to only use ai when i want to speed up the process of finding an answer to something i would otherwise google ",35 - 44,US,Woman
Yes,610acbfd3ae11a1b16a1c3ee,Employed full time,Yes,Often,3,3,3,2,3,2,4,4,3,4,3,3,3,5,5,3,3,3,4,it provides me with inspiration to expand on y own ideas at work,35 - 44,UK,Woman
Yes,610b1f14463b800b75ec7b44,Employed full time,Yes,Sometimes,3,6,2,5,1,2,4,2,2,6,6,4,6,2,2,2,3,2,1,It saves me time initially but then later it causes me more challenges when I need to analyse the answers or double/triple check to be sure what I am being told is correct. Over time this can become more taxing and leads me to question more than without using AI tools.,35 - 44,Australia,Man
Yes,610c66163e803a3564dfaf9c,Self-employed / freelance,Yes,Often,5,5,5,5,4,5,4,3,4,5,5,4,5,5,3,4,5,6,3,Sometimes I wonder if the judgements and conclusions are my own or if it is AI,18 - 24,UK,Man
Yes,611c602eb1c81e9a397985e1,Employed full time,Yes,Occasionally,5,6,5,4,5,5,2,2,2,4,6,4,6,4,4,4,5,5,1,AI has made me question everything I see online and I don’t trust anything it says ,35 - 44,US,Woman
Yes,612842ca25ad8ffd1b8e44ec,Unemployed and looking for work,Yes,Sometimes,5,5,6,3,2,5,4,1,2,7,7,7,7,1,1,1,5,4,1,"It can take away the human aspect of thinking, although I always try and go over its answers to check it/change it to be more human",18 - 24,UK,Man
Yes,612fa6644526903f736cf925,Employed full time,Yes,Often,4,3,2,4,3,3,4,3,2,3,1,4,2,5,5,4,6,4,2,you concentrate so hard on the prompt sometimes you loses focus on exactly what you were asking. your mind gets muddled.,55 - 65,US,Man
Yes,6137e32367aae15b0156bd7e,Employed full time,Yes,Rarely,2,4,2,5,3,2,2,3,1,5,4,6,5,1,1,5,7,6,2,I struggle to rest as im having to use my eyes for screen interaction then my mind and voice when using voice prompts to generate responses and that can take a mental toll over time and leave me feeling reliant on the technology making me uneasy,35 - 44,UK,Man
Yes,614e65edaccea7bee04b8ad8,Employed full time,Yes,Everyday,6,7,7,7,4,5,4,3,2,5,7,7,6,3,3,6,6,7,5,I find myself second guessing my decisions as I've become somewhat reliant on AI to assist my decision making. The longer I spend away from AI the better my decision making becomes.,55 - 65,Australia,Man
Yes,6151a607b886850c924ff6ec,Employed full time,Yes,Everyday,2,4,2,4,1,1,1,2,1,5,6,4,6,1,1,5,7,6,1,AI supports my own decision making process but never dominates.,55 - 65,Australia,Man
Yes,6152f73a30aafa46c799b32f,Employed full time,Yes,Everyday,2,5,1,1,1,1,6,7,1,1,1,1,1,1,1,1,7,3,1,AI recommends suggestions and enables me to think and follow processes to achieve my goals and answers. ,Over 65,UK,Man
Yes,6154b537a93b01369670a9f5,Employed full time,No,Occasionally,6,4,5,5,2,5,3,3,5,6,4,4,4,5,3,5,3,5,5,"I sometimes use AI to write emails or work for me when I've hit a block, I'll ask it to add empathy or soften what I've said. I usually use it to edit rather than to create. I find that it makes me feel like i'm getting more stupid and less able to think for myself - i feel lazy when I use it because I'm quite capable of doing the tasks i'm asking it to do",25 - 34,UK,Woman
Yes,6157040a78451d0e36577a2a,Employed part-time,No,Rarely,2,5,5,2,2,4,1,3,1,5,1,6,6,2,1,3,5,6,1,"Using AI makes me over think the outcome, whether its correct and whether I should be using it as part of day today life",25 - 34,UK,Woman
Yes,615e420a23219efe3427a367,Employed full time,Yes,Often,1,1,1,5,1,1,3,4,3,1,1,1,1,1,1,4,7,6,2,"AI greatly enhances my ability to write succintly and clearly and that's how I use it mainly at work. Personally, I use it for recipes and miscellaneous queries. I'm always able to think clearly and make my own decisions. It rests my mind by saving me time.",Over 65,US,Woman
Yes,6163f8a826c9b98b20139416,Employed part-time,Yes,Often,5,3,5,3,1,3,1,1,1,5,5,5,7,1,1,2,5,5,1,"It's not how I use purposely AI myself that affects my decision making or stresses me, it's the ever present use of it in all forms of interaction that I require to make with any company or service provider. Wading through endless chat bots or AI systems is wearing, annoying and time consuming.",55 - 65,UK,Man
Yes,61fa94df5719bc09cb835064,Self-employed / freelance,Yes,Sometimes,2,4,2,2,2,2,3,2,2,4,2,2,2,2,2,2,4,2,2,I feel like using AI tools helps me to distill things down better to allow for me to actually think clearly. I can offload some simple decisions or tasks and then I can focus on what's needed.,45 - 54,US,Man
Yes,62162ab583fc823e78c025e2,Employed part-time,Yes,Sometimes,5,6,2,3,1,6,1,2,3,2,1,4,7,1,1,1,4,4,1,I need to be on guard for wrong information frequently. I feel that I'm actually training it sometimes and it's taxing.,55 - 65,US,Woman
Yes,6229fff149374541c22a95bf,Retired,No,Occasionally,1,1,1,1,1,1,4,3,2,2,2,1,1,1,1,1,1,1,1,AI is a tool that gives good solid additional information that helps me make a good decision. It also helps in most cases confirm my decision by giving supporting information. It also gives suggestions that I may have not thought of. It is a great tool for me. It is a search engine on steroids.,Over 65,US,Man
Yes,622a4d6cf143081ed1887ee5,Retired,Yes,Occasionally,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,"It doesn't. It is possible that if I used them more than I do, it could affect my ability to think clearly, but I only occasionally use them and I do not feel any effect on my ability to think or make decisions.",Over 65,US,Woman
Yes,6238b95932e705108020765a,Employed full time,Yes,Sometimes,7,7,7,4,1,7,1,1,1,4,4,1,1,1,1,1,4,7,1,Personally it has no affect on me other than I just deeply hate using it. I only touch that useless shit because it's required at work.,25 - 34,US,Man
Yes,623a4d7294028cfe9638272f,Self-employed / freelance,Yes,Occasionally,5,7,3,6,2,5,1,1,1,5,4,3,5,1,1,5,6,7,1,"I try to minimize my use of AI, saving it for work tasks. I am afraid of using it for writing, as I don't want to lose my creativity and my unique voice. I only use it for unimportant tasks and decisions because I have found it to be highly inaccurate and shallow.",55 - 65,US,Woman
Yes,6266a849331cc893a5b22cf6,Self-employed / freelance,Yes,Sometimes,4,4,5,5,1,2,2,1,1,3,5,5,7,2,2,2,7,4,3,"Sometimes, there is a bit of a reliance on AI tools that encourages mental laziness, which results in less time to think clearly on your own.",55 - 65,US,Man
Yes,62682277645054f5802459b8,Retired,Yes,Often,5,5,3,3,1,4,3,3,3,4,3,3,5,1,1,1,1,1,1,doesn't affect my ability to think clearly in any way,55 - 65,UK,Man
Yes,62795033eec9c814d8caf988,Employed full time,Yes,Everyday,2,2,3,5,2,2,5,2,3,2,2,3,5,1,1,1,4,3,1,"I believe that I'm getting lazier and lazier as I'm relying on AI more to help me make decisions without using my own mind. I sometimes feel like I can't think for myself and think this is due to me using AI more and more. I need a rest for AI at periodic intervals to go through my thoughts and think more clear, original ideas",25 - 34,UK,Man
Yes,627a659dc19a74aab841d292,Employed full time,Yes,Everyday,1,2,3,2,2,3,5,4,3,5,5,6,7,2,3,5,6,7,2,I worry the AI system is not giving me the correct information so it's gives me anxiety ,25 - 34,UK,Woman
Yes,628e24c80b3e2b2e0d7a5af1,Employed part-time,Yes,Often,1,2,2,3,1,1,1,1,1,5,3,4,6,1,1,1,2,3,1,I think when I use AI tools too much I become less focused on the smaller details because I think that the AI will take care of it and that can lead to some oversight.,35 - 44,US,Man
Yes,62a7477981491179fd5f1f6c,Employed full time,Yes,Occasionally,4,4,5,3,2,5,3,3,2,4,2,4,6,3,4,3,6,3,2,It takes the pressure of a decision away although I dont want to rely on it.,35 - 44,UK,Woman
Yes,62b74ec256808d84b3e691d6,Unemployed and not currently looking for work,Yes,Occasionally,3,6,4,5,2,4,1,2,1,1,1,2,3,2,2,1,2,4,1,"i only use ai infrequently, and mainly to generate images such as birthday cards for friends.  In this context, I find it helpful as it quickly gets the task done for me, so it actually is more restful for me than having to create the cards manually.  In terms of other interactions with ai, I mostly come across these when doing surveys for Prolific.  Here, I do find the conversations mentally taxing, and it can be quite difficult steering the AI in the direction you want, as well as mentally demanding trying to assess its accuracy",35 - 44,UK,Man
Yes,62b8b2be4c2b1d481f4f68c0,Employed part-time,Yes,Sometimes,5,6,2,1,1,1,1,1,1,2,1,3,2,1,1,4,4,4,1,"I use it carefully to sense check or proof read content that I have generated myself.  It is very good to help edit down wordy content, or to adapt it to specific audiences and I always check that it has not changed the meaning or added/removed content that I did not want it to.  Like anything else (spellcheck, autocomplete, transcriptions etc) it is a tool in the toolbox and you need to understand what it can and can't do and quality check the results.",35 - 44,UK,Man
Yes,62e0532289a4e5d9fedadde1,Employed full time,No,Often,2,2,4,5,2,3,5,3,4,2,3,4,4,2,3,4,6,4,2,it definitely helps me to make better decisions when I have a choice to make,35 - 44,US,Man
Yes,62e2f4973427f0ab91180361,Employed full time,Yes,Sometimes,7,5,4,6,1,2,4,4,3,5,6,5,7,3,2,2,5,4,5,I don’t feel it has anymore of a negative impact on any of those things any more than regular screen time. I always need breaks from the screen. ,25 - 34,UK,Woman
Yes,62f6e81d42e7c4dea045f2fc,Employed part-time,Yes,Everyday,5,3,4,6,1,4,6,2,3,3,4,4,5,3,2,2,7,7,1,"I think using AI tools helps me a lot but if I am giving it prompts and it's not following, that is stressful. I think a moment away from it helps declutter the mind quickly.",25 - 34,US,Woman
Yes,6303c94be7331161d7bb9f19,Unemployed and not currently looking for work,Yes,Everyday,2,2,2,4,1,1,5,4,4,3,3,2,3,2,1,1,2,2,1,AI tools could assist to make decision more effectively,55 - 65,UK,Man
Yes,6320815455d02d8d3d1f9378,Employed full time,Yes,Often,2,4,2,6,6,4,2,1,4,4,4,3,3,2,1,1,2,4,1,I think it enables me to think and look at a problem from a different POV. However there can be times where info provided can be overwhelming,25 - 34,UK,Man
Yes,632258f0011352c32c2898e1,Employed full time,Yes,Everyday,3,4,6,1,2,2,1,5,2,7,6,5,7,1,1,6,7,2,1,Using AI helps clear my thought process to make decisions by quickly but thoroughly analysing the pros and cons of each outcome. This can rest my mind by ensuring all outcomes are explored but can sometimes be overwhelming due to the volume of information ,25 - 34,UK,Woman
Yes,6346921046fa377ce55acbc1,Self-employed / freelance,Yes,Very often,5,6,4,5,3,3,3,2,2,5,6,6,7,1,1,4,6,6,5,"They can overload me with information which I cannot be sure is true or contradict my own knowledge, which is confusing. ",35 - 44,UK,Man
Yes,6352c60b4a9850783773f265,Employed full time,Yes,Occasionally,2,5,3,5,2,2,2,4,3,4,3,3,2,2,1,5,6,5,1,i think that i use Digital tools only when i need to so that helps me shorten the amount of time i have mental fatigue using these tools,45 - 54,US,Man
Yes,63647b449ebb941211f7db5c,Homemaker / caring for family,No,Never,4,5,4,1,1,5,1,1,1,4,5,7,7,3,4,7,6,7,1,"I don't use AI, it's encouraging helplessness in the population ",25 - 34,US,Woman
Yes,637fcee60a8378c1c3a65898,Employed full time,Yes,Occasionally,3,6,5,3,2,3,2,5,5,2,5,6,3,2,2,5,5,4,2,"If focuses your mind on the initial choices to be  made.

; ",45 - 54,UK,Man
Yes,6393a3235edc1cd2ebfcb3db,Self-employed / freelance,Yes,Often,4,6,4,3,2,5,4,3,3,4,3,3,2,1,1,1,3,5,2,"AI is useful as a general guide and provide alternate paths to pursue, it is good for brainstorming ideas and as a shorthand to check general information on a topic to provide an overview. I feel I can gain a quick overall grasp of an unfamiliar topic and there is a sense of overconfidence in thinking that it is a solid grasp. I sometimes make decisions based on what AI says but if the decision is an important one I will seek further information at the source and get a second or more opinions.",45 - 54,Australia,Woman
Yes,63a1ae117fa485cabe593f2a,Self-employed / freelance,Yes,Occasionally,4,4,3,5,3,4,3,2,2,5,4,4,4,6,5,4,5,4,4,I sometimes may use AI to give overview or important points on a topic I am researching or writing about- especially if I have writer’s block. But sometimes I am asked to use AI for a task and it bothers me that I am required to consider or use AI suggestions…,55 - 65,US,Woman
Yes,63a32488e685c05e9fb5988e,Retired,Yes,Everyday,2,4,2,1,1,1,4,2,3,2,1,1,1,1,1,1,1,1,3,"I can think as clearly as always, when using AI, it doesn't affect me",55 - 65,UK,Man
Yes,63b3377ca1ccdfc7cc567503,Employed full time,Yes,Often,4,3,2,5,6,3,5,5,4,6,6,6,7,5,6,7,7,7,3,We depend more and more on AI and loosing our creativity and mental work,55 - 65,UK,Man
Yes,63b9d3abc3ddc61c8c08fd84,Employed full time,Yes,Everyday,3,7,5,3,1,3,1,1,1,2,2,2,4,2,1,4,5,5,2,I really need breaks from screens in general and I use screen for digital and AI tools so I just need a break to rest my eyes and head sometimes.,45 - 54,US,Woman
Yes,63bb79aed472669f48be40cd,Employed part-time,Yes,Often,4,5,3,3,2,2,2,1,1,1,1,1,5,1,1,1,3,2,1,it doesnt i find it helps with clarity,35 - 44,Australia,Woman
Yes,63bcbf7e0ac7e876387ef720,Self-employed / freelance,No,Rarely,2,2,1,2,1,1,1,1,1,5,5,5,7,2,1,2,5,1,1,Using digital tools is merely a supplement to my own thoughts. I am always in control and don't have a burnout problem.,Over 65,US,Man
Yes,63ced9adadc38e1acc2b58b6,Employed full time,Yes,Very often,2,2,2,3,1,2,3,3,2,3,3,3,4,1,1,7,6,4,2,I think it’s the opposite it gives me clarity of thought and confirms why ideas are positive solutions ,45 - 54,UK,Woman
Yes,63cedafa29d08471b828a96a,Self-employed / freelance,Yes,Very often,5,5,4,4,4,4,4,3,4,4,4,4,6,4,3,5,5,6,3,"I need it to make sense of my thoughts and ideas. It helps me make decisions, which frees up my mind, and I then have confidence to do other things, away from screen and AI",45 - 54,UK,Woman
Yes,63cffbb83de2a98d677a3284,Employed full time,No,Rarely,2,3,2,3,1,1,2,2,2,5,5,5,5,1,1,1,2,4,1,usually it is used to re-enforce something I think I know the answer / what to do. it also helps with ideas and sometime helps put my thoughts into words,35 - 44,UK,Man
Yes,63d3fada47de3a294210f997,Employed full time,Yes,Sometimes,3,5,2,5,3,5,5,2,1,3,4,5,7,2,2,5,6,5,2,I would say that making a difficult strategic decision at work is easier with the guidance of AI and sometimes it can affect my ability when I don't have access to AI to help me. I don't think I use it often enough for it to make me feel like I can't switch off from it (luckily!),35 - 44,UK,Woman
Yes,63df06a8c5ac5f3c6bf77e6f,Unemployed and looking for work,Yes,Occasionally,2,4,5,1,1,4,1,1,1,4,1,1,4,4,4,1,4,4,1,"I don't think AI affects my ability to think clearly, etc. But actually I'm getting a bit tired of AI, especially AI answering every question, etc., I put in Google search. AI is getting tiresome because it's everywhere--not just in Google search and AI chatbots but in the news, in people's writing/posts in discussion forums and Blogs, in jobs new and disappearing, in everyone's conversation, and just appearing everywhere. I'd like a day when I don't have to hear about, see, or read about AI---like not forever, but just not everywhere, every day.",55 - 65,US,Woman
Yes,63e574e72b3b93e526031bc4,Employed full time,Yes,Sometimes,3,3,2,3,2,2,2,2,2,5,3,4,4,1,1,1,2,1,1,"I feel like it is the opposite- AI let's me have a small brain break in between thinking, to automate things that aren't needing my own personal input.",35 - 44,Australia,Woman
Yes,63f564152b3caf8fc0a69dcf,Employed full time,Yes,Occasionally,4,3,4,3,2,5,2,2,1,3,4,4,6,2,3,5,5,7,1,I sometimes question where the AI information actually comes from and whether it truly is reliable. I would rather just be able to trust it.,55 - 65,US,Woman
Yes,63f77f79278126e103659cf4,Employed full time,Yes,Often,2,3,1,2,1,1,2,1,1,3,3,2,2,1,1,1,4,4,1,"I feel it has no impact, I use AI as an aid but don’t depend on it ",25 - 34,UK,Man
Yes,63f82a4ff43ec144ca3622a8,Self-employed / freelance,Yes,Everyday,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,it does not affect it at all,35 - 44,US,Man
Yes,64135747b6349f88a7b44287,Employed full time,Yes,Everyday,3,5,5,6,5,6,4,3,5,7,5,5,7,5,5,3,5,2,5,"I think I get a bit overreliant on AI at times, and I think it is harming my early career slightly, as I am a little less competent than I would be if I was not using AI",18 - 24,UK,Man
Yes,64136457f1327294ffb3fef9,Self-employed / freelance,Yes,Everyday,4,5,3,4,4,3,3,3,5,2,2,5,3,2,2,2,2,2,2,It informs me by offering a perspective rooted in a more objective analysis. I can tailor it's suggestions to suit me. I don't let it decide for me without thoroughly interrogated it to determine if it's accurate and trustworthy information.,25 - 34,UK,Man
Yes,64417d740541530e34daa2ba,Self-employed / freelance,Yes,Sometimes,3,4,3,5,2,2,2,4,3,5,3,5,5,2,2,3,5,5,4,Constantly thinking about problems and their solutions can be taxing,55 - 65,UK,Man
Yes,644805884189b40893adfa53,Employed full time,Yes,Occasionally,4,4,3,5,4,3,2,4,2,3,4,2,4,2,2,2,5,4,2,You start doubting your own judgement if you don't come up with the same as an AI,55 - 65,UK,Woman
